0
"(0, 1227, 11.719142104134418)"
"(1, 1202, 143.2802065254333)"
"(2, 601, 5.713481868060722)"
"(3, 1522, 162.12427327360916)"
"(4, 270, 6.092532294774883)"
"(5, 389, 3.174028497680352)"
"(6, 3717, 19.595559849844143)"
"(7, 429, 130.0286322129879)"
"(8, 2142, 43.086995405689315)"
"(9, 310, 7.529545000332109)"
"(10, 2764, 146.5189346706201)"
"(11, 3911, 25.32753184752464)"
"(12, 3714, 88.88322357390408)"
"(13, 2387, 63.39183387539841)"
"(14, 2304, 20.711317019636596)"
"(15, 2211, 85.4213714626027)"
"(16, 456, 4.214665959225295)"
"(17, 111, 24.537626046919414)"
"(18, 2550, 26.351470929931978)"
"(19, 680, 7.74147659392445)"
"(20, 2349, 18.176480325825118)"
"(21, 2720, 139.746074730955)"
"(22, 3432, 11.863896755486273)"
"(23, 369, 8.151274230770323)"
"(24, 901, 91.60527363006996)"
"(25, 2210, 60.170682423671174)"
"(26, 3865, 132.09682145740007)"
"(27, 774, 76.61610205347068)"
"(28, 633, 20.293881983642752)"
"(29, 331, 63.666969720547804)"
"(30, 2452, 5.474413675139266)"
"(31, 1898, 6.081338863298175)"
"(32, 3023, 121.25737130473534)"
"(33, 3151, 43.94374290827377)"
"(34, 237, 15.666966851242407)"
"(35, 1129, 58.27508774783881)"
"(36, 582, 3.6837227066930565)"
"(37, 284, 10.75473177908021)"
"(38, 3191, 164.05755790687027)"
"(39, 1746, 37.354393390035916)"
"(40, 2465, 8.930557330213613)"
"(41, 3389, 15.687639186712781)"
"(42, 3386, 10.608472398043583)"
"(43, 3713, 85.32944120257504)"
"(44, 926, 10.607927613442303)"
"(45, 845, 47.80311748814967)"
"(46, 3456, 76.27707408916685)"
"(47, 3193, 91.74844324300066)"
"(48, 2575, 13.749546901978484)"
"(49, 2858, 24.0243554172454)"
"(50, 1899, 37.68694379221416)"
"(51, 2859, 11.583590486030365)"
"(52, 737, 83.72175657710466)"
"(53, 4147, 86.11811477464785)"
"(54, 3201, 44.983393568846125)"
"(55, 3013, 29.455080154369266)"
"(56, 466, 39.99445234724974)"
"(57, 3691, 4.866003197266864)"
"(58, 1234, 39.26297287793738)"
