ID;ISTAT_PROVINCIA;PROVINCIA;ISTAT;COMUNE;DENOMINAZIONE_DEL_MERCATO;INDIRIZZI;PERIODICITA_DEL_MERCATO;GIORNO_DI_MERCATO;FREQUENZA_SETTIMANALE;DALLE_ORE_ESTIVO;ALLE_ORE_ESTIVO;DAL;AL;ANNO_ISTITUZIONE_MERCATO;ISTITUZIONE_ALTRO_RIFERIMENTO_TEMPORALE;N_POST_ALIM;N_POST_NON_ALIM;N_POST_TOT;SUP_POST_NON_ALIM;SUP_POST_ALIM;SUP_POST_TOT;POSTI_DEST_PRODOTTI_TIPICI_LOMBARDI;POSTI_DEST_PRODOTTI_AGRICOLI;POSTI_DEST_PRODOTTI_FLOROVIVAISTICI
100574;15;MI;15192;SAN DONATO MILANESE;PIAZZA SANTA BARBARA;PIAZZA SANTA BARBARA;SETTIMANALE;MARTEDÌ;;08:00;13:30;;;1980;;8;17;25;535;260;795;0;1;0
100336;15;MI;15011;ASSAGO;VIA CORSICA;CORSICA;SETTIMANALE;GIOVEDÌ;;08:00;13:30;;;1997;;12;21;33;587.4;387;974.4;0;0;1
204616;15;MI;15113;INVERUNO;FIERA ANNUALE DI S. ANGELO;CENTRO CITTADINO;STAGIONALE;LUNEDÌ;;07:30;19:00;;;1933;;40;182;222;6433.67;1335.4;7769.07;0;0;0
100405;15;MI;15106;GESSATE;VIA A. MORO (SABATO);A. MORO, S.N.C;SETTIMANALE;SABATO;;08:30;13:30;;;2012;;17;14;31;555;740;1295;0;0;0
100404;15;MI;15106;GESSATE;VIA A. MORO (MARTEDI);MARTEDÌ, S.N.C;SETTIMANALE;MARTEDÌ;;08:30;13:30;;;1982;;29;17;46;655;1115;1770;0;2;1
440855;15;MI;15011;ASSAGO;VIA MATTEOTTI/ L. DA VINCI;VIA MATTEOTTI;SETTIMANALE;SABATO;;08:00;13:30;;;2012;;11;8;19;305;440;745;5;0;0
22084;15;MI;15209;SESTO SAN GIOVANNI;SESTO VECCHIO;P.GUERRA/CAIROLI/PADRE RAVASI;SETTIMANALE;SABATO;;07:00;13:00;;;;;32;81;113;2668;1065;3733;0;1;0
447082;15;MI;15113;INVERUNO;FIERA ANNUALE SAN MARTINO;CENTRO CITTADINO;STAGIONALE;DOMENICA;;;;;;1608;;40;182;222;6433.67;1335.4;7769.07;0;0;0
100560;15;MI;15182;RHO;MERCATO DI PIAZZA MARINAI D'ITALIA;PIAZZA MARINAI D'ITALIA;SETTIMANALE;GIOVEDÌ;;06:00;14:00;01-gen;31-dic;1982;;10;18;28;587;432;1019;0;2;0
447082;15;MI;15113;INVERUNO;FIERA ANNUALE SAN MARTINO;CENTRO CITTADINO;STAGIONALE;SABATO;;;;;;1608;;40;182;222;6433.67;1335.4;7769.07;0;0;0
100560;15;MI;15182;RHO;MERCATO DI PIAZZA MARINAI D'ITALIA;PIAZZA MARINAI D'ITALIA;SETTIMANALE;MARTEDÌ;;14:30;19:30;01-gen;31-dic;1982;;10;18;28;587;432;1019;0;2;0
100354;15;MI;15036;BUCCINASCO;VIA TIZIANO;TIZIANO, SNC;SETTIMANALE;VENERDÌ;;08:00;13:00;;;;;29;45;74;1458;1042;2500;0;1;0
100359;15;MI;15046;CANEGRATE;PIAZZALE  DEI DONATORI;PIAZZA DONATORI;SETTIMANALE;SABATO;;08:00;13:00;01-gen;31-dic;1992;;11;22;33;640;304;944;0;1;0
447082;15;MI;15113;INVERUNO;FIERA ANNUALE SAN MARTINO;CENTRO CITTADINO;STAGIONALE;LUNEDÌ;;;;;;1608;;40;182;222;6433.67;1335.4;7769.07;0;0;0
9991400;15;MI;15110;GREZZAGO;MERCATO DI GREZZAGO DEL VENERDÌ POMERIGGIO;V. TOGLIATTI - P.ZA A. MORO;SETTIMANALE;VENERDÌ;;14:00;18:00;;;1995;;5;7;12;280;200;480;0;1;0
100626;15;MI;15242;VIMODRONE;VIA MATTEOTTI;MATTEOTTI;SETTIMANALE;VENERDÌ;;08:00;13:00;;;;CIRCA METàA'NOVECENTO;25;49;74;1365.48;630.26;1995.74;0;1;0
100625;15;MI;15242;VIMODRONE;VIA DELLA GUASTA;LEOPARDI;SETTIMANALE;MARTEDÌ;;08:00;13:00;;;;CIRCA 1950;7;4;11;140;245;385;0;0;0
529826;15;MI;15154;NERVIANO;MERCATO SANT'ILARIO;VIA MARIANI;SETTIMANALE;MERCOLEDÌ;;07:00;13:30;;;2006;;10;10;20;260;285;545;0;0;0
100527;15;MI;15154;NERVIANO;MERCATO CAPOLUOGO;VIA GIUSEPPE TONIOLO;SETTIMANALE;SABATO;;07:00;13:30;;;;primi '900;33;55;88;2152.5;1220;3372.5;0;1;0
100605;15;MI;15211;SETTIMO MILANESE;VIA AIRAGHI;VIA ANGELO AIRAGHI, SNC;SETTIMANALE;SABATO;;08:00;13:00;;;;2000;5;7;12;270;188;458;0;1;0
9991420;15;MI;15219;TREZZANO ROSA;MERCATO DI TREZZANO ROSA DEL SABATO;;;;;;;;;;;;;;;;;;;
100606;15;MI;15211;SETTIMO MILANESE;VIA BUOZZI;VIA BUOZZI, SNC;SETTIMANALE;MERCOLEDÌ;;08:00;13:00;;;;2000;16;55;71;1684;519;2203;0;2;0
100431;15;MI;15146;MILANO;BASTIONI PORTA NUOVA;BASTIONI DI PORTA NUOVA;SETTIMANALE;SABATO;;07:30;14:00;;;1999;;31;16;47;233.75;364.5;598.25;0;0;0
100435;15;MI;15146;MILANO;QUARTIERE OLMI;VIA DELLE BETULLE;SETTIMANALE;SABATO;;07:30;14:00;01-gen;31-dic;1998;;18;10;28;181.5;280;461.5;0;1;0
100476;15;MI;15146;MILANO;VIA GAETA;VIA GAETA;SETTIMANALE;MERCOLEDÌ;;07:30;14:00;01-gen;31-dic;2002;;53;94;147;1147.85;654.55;1802.4;0;1;0
100418;15;MI;15130;MAGENTA;PIAZZA MERCATO;PIAZZA MERCATO, SC;SETTIMANALE;LUNEDÌ;;08:00;13:00;01-gen;31-dic;1970;;42;185;227;5297;1452.25;6749.25;0;2;0
61973;15;MI;15087;CORNAREDO;PIAZZA DELLA LIBERTA';PIAZZA DELLA LIBERTA', SNC;SETTIMANALE;VENERDÌ;;07:30;13:30;;;;primi anni '70;21;67;88;2930;770;3700;0;1;0
100607;15;MI;15211;SETTIMO MILANESE;VIA CACCIATORI DELLE ALPI;VIA CACCIATORI DELLA ALPI , SNC;SETTIMANALE;LUNEDÌ;;08:00;13:00;;;;2000;4;2;6;80;160;240;0;0;0
100463;15;MI;15146;MILANO;VIA CURIEL;VIA EUGENIO CURIEL;SETTIMANALE;VENERDÌ;;07:30;14:00;01-gen;31-dic;1997;;40;44;84;899;793.5;1692.5;0;0;0
100607;15;MI;15211;SETTIMO MILANESE;VIA CACCIATORI DELLE ALPI;VIA CACCIATORI DELLA ALPI , SNC;SETTIMANALE;GIOVEDÌ;;08:00;13:00;;;;2000;4;2;6;80;160;240;0;0;0
100554;15;MI;15178;POZZUOLO MARTESANA;VIA  A. MORO;;;;;;;;;;;;;;;;;;;
100459;15;MI;15146;MILANO;VIA CESARIANO (LUNEDI);VIA CESARE CESARIANO;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;1998;;35;21;56;318;487.5;805.5;0;1;0
100493;15;MI;15146;MILANO;VIA PASCARELLA;VIA CESARE PASCARELLA;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;2000;;33;36;69;476;445.65;921.65;0;0;0
100342;15;MI;15024;BINASCO;VIE  MARTIRI D'UNGHERIA E VIRGILIO;;;;;;;;;;;;;;;;;;;
712335;15;MI;15175;PIOLTELLO;VIA GRANDI ANGOLO VIA GORIZIA;;;;;;;;;;;;;;;;;;;
100385;15;MI;15081;COLOGNO MONZESE;CAPOLUOGO;VIA CALABRIA;;;;;;;;;;;;;;;;;;
100371;15;MI;15070;CERNUSCO SUL NAVIGLIO;VIA BUONARROTI;VIA MICHELANGELO BUONARROTI;SETTIMANALE;MERCOLEDÌ;;07:30;13:00;;;1997;;40;163;203;3960;1440;5400;0;2;0
100576;15;MI;15192;SAN DONATO MILANESE;VIA GRAMSCI;VIA ANTONIO GRAMSCI;SETTIMANALE;VENERDÌ;;08:00;13:30;;;1972;;24;71;95;2041;665;2706;0;1;0
529463;15;MI;15213;SOLARO;PIAZZA LIBERTA';PIAZZA DELLA LIBERTA';SETTIMANALE;GIOVEDÌ;;08:00;13:00;;;;ANNI 2000;16;33;49;1120;488;1608;0;0;3
100349;15;MI;15027;BOLLATE;MERCATO DEL MERCOLEDÌ;VIA VERBANIA;SETTIMANALE;MERCOLEDÌ;;08:00;13:00;;;;primi anni '70;5;6;11;180;165;345;0;1;0
640974;15;MI;15195;SAN GIULIANO MILANESE;MERCATO DI VIA FRATELLI CERVI;VIALE FRATELLI CERVI;SETTIMANALE;VENERDÌ;;07:30;13:30;;;2008;;8;14;22;392;224;616;0;1;0
960;15;MI;15173;PIEVE EMANUELE;VIA FIZZONASCO;;;;;;;;;;;;;;;;;;;
100582;15;MI;15201;SAN VITTORE OLONA;PIAZZA ALDO MORO;;;;;;;;;;;;;;;;;;;
100494;15;MI;15146;MILANO;VIA PISANI DOSSI;VIA CARLO ALBERTO PISANI DOSSI;SETTIMANALE;LUNEDÌ;;07:30;14:00;01-gen;31-dic;1999;;14;22;36;211;178.5;389.5;0;0;0
100507;15;MI;15146;MILANO;VIA STRESA;VIA STRESA;SETTIMANALE;VENERDÌ;;07:30;14:00;01-gen;31-dic;2000;;43;51;94;725.4;653.7;1379.1;0;1;0
100458;15;MI;15146;MILANO;VIA CESARIANO (GIOVEDI);VIA CESARE CESARIANO;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;2002;;31;21;52;346.5;418.5;765;0;1;0
841598;15;MI;15081;COLOGNO MONZESE;VIA PAPA GIOVANNI XXIII;VIA PAPA GIOVANNI XXIII;SETTIMANALE;MARTEDÌ;;08:00;13:00;;;1985;;36;54;90;1393;1102;2495;0;0;0
100597;15;MI;15209;SESTO SAN GIOVANNI;VIA FIORANI;VIA CRAXI;SETTIMANALE;MARTEDÌ;;07:00;13:00;;;;;4;3;7;90;120;210;0;0;0
100602;15;MI;15209;SESTO SAN GIOVANNI;VIA PADOVANI;VIA PADOVANI;SETTIMANALE;MERCOLEDÌ;;07:00;13:00;;;;;4;3;7;125;120;245;0;0;0
100590;15;MI;15209;SESTO SAN GIOVANNI;PIAZZA FARUFFINI;PIAZZA FARUFFINI;SETTIMANALE;VENERDÌ;;07:00;13:00;;;;;5;0;5;0;150;150;0;0;0
